Name,Age,City,Marks,Subject
Navami,20,Bengaluru,85,Python
Akash,21,Mysuru,72,Python
Devika,19,Bengaluru,91,Data Analysis
Shreya,22,Hubli,55,Python
Nithin,20,Bengaluru,78,Data Analysis
Komal,21,Mysuru,65,Python
Bhuvan,20,Hubli,48,Data Analysis
Kaveri,19,Bengaluru,88,Python
Vathsala,21,Mysuru,70,Data Analysis
Disha,20,Bengaluru,92,Python
Vasukeesha,22,Hubli,58,Python
Akhil,21,Bengaluru,83,Data Analysis
Rajeshwari,20,Mysuru,67,Python
Mandara,19,Bengaluru,45,Data Analysis
Thrishanth,21,Hubli,76,Python
